,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards
355,Mississippi State,SEC,TD,"{'minutes': 4, 'seconds': 17}",1,"{'minutes': 3, 'seconds': 44}",0,400869021,4008690215,Auburn,SEC,12,True,1,"{'minutes': 8, 'seconds': 1}",79,79
356,Auburn,SEC,FUMBLE,"{'minutes': 2, 'seconds': 24}",1,"{'minutes': 1, 'seconds': 20}",63,400869021,4008690216,Mississippi State,SEC,7,False,1,"{'minutes': 3, 'seconds': 44}",25,35
357,Mississippi State,SEC,TD,"{'minutes': 4, 'seconds': 5}",2,"{'minutes': 12, 'seconds': 15}",0,400869021,4008690217,Auburn,SEC,12,True,1,"{'minutes': 1, 'seconds': 20}",60,60
358,Auburn,SEC,FUMBLE,{'seconds': 57},2,"{'minutes': 11, 'seconds': 18}",28,400869021,4008690218,Mississippi State,SEC,3,False,2,"{'minutes': 12, 'seconds': 15}",25,3
359,Mississippi State,SEC,PUNT,"{'minutes': 3, 'seconds': 9}",2,"{'minutes': 8, 'seconds': 9}",40,400869021,4008690219,Auburn,SEC,6,False,2,"{'minutes': 11, 'seconds': 18}",91,51
360,Kentucky,SEC,PUNT,"{'minutes': 1, 'seconds': 21}",1,"{'minutes': 13, 'seconds': 39}",74,400869031,4008690311,Mississippi State,SEC,3,False,1,{'minutes': 15},75,1
361,Mississippi State,SEC,MISSED FG,"{'minutes': 6, 'seconds': 29}",1,"{'minutes': 7, 'seconds': 10}",90,400869031,4008690312,Kentucky,SEC,15,False,1,"{'minutes': 13, 'seconds': 39}",33,57
362,Kentucky,SEC,PUNT,{'minutes': 2},1,"{'minutes': 5, 'seconds': 10}",72,400869031,4008690313,Mississippi State,SEC,3,False,1,"{'minutes': 7, 'seconds': 10}",80,8
363,Mississippi State,SEC,PUNT,{'seconds': 46},1,"{'minutes': 4, 'seconds': 24}",36,400869031,4008690314,Kentucky,SEC,3,False,1,"{'minutes': 5, 'seconds': 10}",32,4
364,Kentucky,SEC,PUNT,"{'minutes': 1, 'seconds': 45}",1,"{'minutes': 2, 'seconds': 39}",69,400869031,4008690315,Mississippi State,SEC,3,False,1,"{'minutes': 4, 'seconds': 24}",73,4
365,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 47}",1,{'seconds': 52},55,400869031,4008690316,Kentucky,SEC,5,False,1,"{'minutes': 2, 'seconds': 39}",32,23
366,Kentucky,SEC,PUNT,"{'minutes': 1, 'seconds': 2}",2,"{'minutes': 14, 'seconds': 50}",83,400869031,4008690317,Mississippi State,SEC,3,False,1,{'seconds': 52},89,6
367,Mississippi State,SEC,FG,"{'minutes': 4, 'seconds': 23}",2,"{'minutes': 10, 'seconds': 27}",72,400869031,4008690318,Kentucky,SEC,8,True,2,"{'minutes': 14, 'seconds': 50}",42,30
368,Kentucky,SEC,TD,"{'minutes': 1, 'seconds': 42}",2,"{'minutes': 8, 'seconds': 45}",0,400869031,4008690319,Mississippi State,SEC,4,True,2,"{'minutes': 10, 'seconds': 27}",55,55
369,Samford,,TD,"{'minutes': 1, 'seconds': 39}",1,"{'minutes': 13, 'seconds': 21}",100,400869037,4008690371,Mississippi State,SEC,6,True,1,{'minutes': 15},30,70
370,Mississippi State,SEC,TD,"{'minutes': 3, 'seconds': 22}",1,"{'minutes': 9, 'seconds': 59}",0,400869037,4008690372,Samford,,12,True,1,"{'minutes': 13, 'seconds': 21}",75,75
