,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
457,Georgia Southern,Sun Belt,INT,"{'minutes': 1, 'seconds': 30}",1.0,"{'minutes': 13, 'seconds': 30}",73.0,400787441.0,4007874411,The Citadel,,3.0,False,2015,1.0,{'minutes': 15},75.0,2.0
458,The Citadel,,FG,"{'minutes': 1, 'seconds': 49}",1.0,"{'minutes': 11, 'seconds': 41}",95.0,400787441.0,4007874412,Georgia Southern,Sun Belt,4.0,True,2015,1.0,"{'minutes': 13, 'seconds': 30}",89.0,6.0
459,Georgia Southern,Sun Belt,DOWNS,"{'minutes': 3, 'seconds': 16}",1.0,"{'minutes': 8, 'seconds': 25}",45.0,400787441.0,4007874413,The Citadel,,7.0,False,2015,1.0,"{'minutes': 11, 'seconds': 41}",81.0,36.0
460,The Citadel,,TD,"{'minutes': 7, 'seconds': 5}",1.0,"{'minutes': 1, 'seconds': 20}",100.0,400787441.0,4007874414,Georgia Southern,Sun Belt,16.0,True,2015,1.0,"{'minutes': 8, 'seconds': 25}",45.0,55.0
461,Georgia Southern,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 32}",2.0,"{'minutes': 14, 'seconds': 48}",73.0,400787441.0,4007874415,The Citadel,,3.0,False,2015,1.0,"{'minutes': 1, 'seconds': 20}",77.0,4.0
462,The Citadel,,TD,"{'minutes': 2, 'seconds': 18}",2.0,"{'minutes': 12, 'seconds': 30}",100.0,400787441.0,4007874416,Georgia Southern,Sun Belt,5.0,True,2015,2.0,"{'minutes': 14, 'seconds': 48}",34.0,66.0
463,Georgia Southern,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 36}",2.0,"{'minutes': 8, 'seconds': 54}",61.0,400787441.0,4007874417,The Citadel,,5.0,False,2015,2.0,"{'minutes': 12, 'seconds': 30}",79.0,18.0
464,The Citadel,,TD,{'seconds': 17},2.0,"{'minutes': 8, 'seconds': 37}",100.0,400787441.0,4007874418,Georgia Southern,Sun Belt,1.0,True,2015,2.0,"{'minutes': 8, 'seconds': 54}",13.0,87.0
465,Georgia Southern,Sun Belt,INT,"{'minutes': 1, 'seconds': 23}",2.0,"{'minutes': 7, 'seconds': 14}",69.0,400787441.0,4007874419,The Citadel,,3.0,False,2015,2.0,"{'minutes': 8, 'seconds': 37}",69.0,0.0
466,Georgia Southern,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 47}",1.0,"{'minutes': 13, 'seconds': 13}",29.0,400787443.0,4007874431,Idaho,Sun Belt,3.0,False,2015,1.0,{'minutes': 15},25.0,4.0
467,Idaho,Sun Belt,FG,"{'minutes': 1, 'seconds': 42}",1.0,"{'minutes': 11, 'seconds': 31}",16.0,400787443.0,4007874432,Georgia Southern,Sun Belt,4.0,True,2015,1.0,"{'minutes': 13, 'seconds': 13}",15.0,-1.0
468,Georgia Southern,Sun Belt,PUNT,{'seconds': 39},1.0,"{'minutes': 10, 'seconds': 52}",25.0,400787443.0,4007874433,Idaho,Sun Belt,3.0,False,2015,1.0,"{'minutes': 11, 'seconds': 31}",21.0,4.0
469,Idaho,Sun Belt,INT,"{'minutes': 2, 'seconds': 35}",1.0,"{'minutes': 8, 'seconds': 17}",30.0,400787443.0,4007874434,Georgia Southern,Sun Belt,7.0,False,2015,1.0,"{'minutes': 10, 'seconds': 52}",76.0,46.0
470,Georgia Southern,Sun Belt,FG,"{'minutes': 7, 'seconds': 19}",1.0,{'seconds': 58},99.0,400787443.0,4007874435,Idaho,Sun Belt,15.0,True,2015,1.0,"{'minutes': 8, 'seconds': 17}",6.0,93.0
471,Idaho,Sun Belt,TD,{'seconds': 16},1.0,{'seconds': 42},0.0,400787443.0,4007874436,Georgia Southern,Sun Belt,1.0,True,2015,1.0,{'seconds': 58},83.0,83.0
472,Georgia Southern,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 46}",2.0,"{'minutes': 13, 'seconds': 56}",46.0,400787443.0,4007874437,Idaho,Sun Belt,5.0,False,2015,1.0,{'seconds': 42},13.0,33.0
473,Idaho,Sun Belt,FG,"{'minutes': 4, 'seconds': 11}",2.0,"{'minutes': 9, 'seconds': 45}",13.0,400787443.0,4007874438,Georgia Southern,Sun Belt,10.0,True,2015,2.0,"{'minutes': 13, 'seconds': 56}",80.0,67.0
474,Georgia Southern,Sun Belt,TD,{'seconds': 53},2.0,"{'minutes': 8, 'seconds': 52}",100.0,400787443.0,4007874439,Idaho,Sun Belt,3.0,True,2015,2.0,"{'minutes': 9, 'seconds': 45}",25.0,75.0
475,Georgia Southern,Sun Belt,PUNT TD,"{'minutes': 2, 'seconds': 44}",1.0,"{'minutes': 12, 'seconds': 16}",45.0,400787445.0,4007874451,Louisiana Monroe,Sun Belt,6.0,True,2015,1.0,{'minutes': 15},30.0,15.0
476,Georgia Southern,Sun Belt,INT,"{'minutes': 1, 'seconds': 17}",1.0,"{'minutes': 10, 'seconds': 59}",18.0,400787445.0,4007874453,Louisiana Monroe,Sun Belt,3.0,False,2015,1.0,"{'minutes': 12, 'seconds': 16}",25.0,-7.0
477,Louisiana Monroe,Sun Belt,FG,"{'minutes': 5, 'seconds': 37}",1.0,"{'minutes': 5, 'seconds': 22}",12.0,400787445.0,4007874454,Georgia Southern,Sun Belt,11.0,True,2015,1.0,"{'minutes': 10, 'seconds': 59}",43.0,31.0
478,Georgia Southern,Sun Belt,DOWNS,"{'minutes': 3, 'seconds': 48}",1.0,"{'minutes': 1, 'seconds': 34}",64.0,400787445.0,4007874455,Louisiana Monroe,Sun Belt,10.0,False,2015,1.0,"{'minutes': 5, 'seconds': 22}",30.0,34.0
479,Louisiana Monroe,Sun Belt,TD,"{'minutes': 3, 'seconds': 36}",2.0,"{'minutes': 12, 'seconds': 58}",0.0,400787445.0,4007874456,Georgia Southern,Sun Belt,9.0,True,2015,1.0,"{'minutes': 1, 'seconds': 34}",64.0,64.0
480,Georgia Southern,Sun Belt,FG,"{'minutes': 5, 'seconds': 51}",2.0,"{'minutes': 7, 'seconds': 7}",73.0,400787445.0,4007874457,Louisiana Monroe,Sun Belt,12.0,True,2015,2.0,"{'minutes': 12, 'seconds': 58}",35.0,38.0
481,Louisiana Monroe,Sun Belt,TD,"{'minutes': 1, 'seconds': 38}",2.0,"{'minutes': 5, 'seconds': 29}",0.0,400787445.0,4007874458,Georgia Southern,Sun Belt,4.0,True,2015,2.0,"{'minutes': 7, 'seconds': 7}",72.0,72.0
482,Georgia Southern,Sun Belt,PUNT,{'seconds': 51},2.0,"{'minutes': 4, 'seconds': 38}",23.0,400787445.0,4007874459,Louisiana Monroe,Sun Belt,3.0,False,2015,2.0,"{'minutes': 5, 'seconds': 29}",22.0,1.0
483,Georgia Southern,Sun Belt,PUNT,{'minutes': 2},1.0,{'minutes': 13},51.0,400787452.0,4007874521,New Mexico State,Sun Belt,6.0,False,2015,1.0,{'minutes': 15},75.0,24.0
484,New Mexico State,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 27}",1.0,"{'minutes': 9, 'seconds': 33}",51.0,400787452.0,4007874522,Georgia Southern,Sun Belt,7.0,False,2015,1.0,{'minutes': 13},32.0,34.0
485,Georgia Southern,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 37}",1.0,"{'minutes': 7, 'seconds': 56}",73.0,400787452.0,4007874523,New Mexico State,Sun Belt,3.0,False,2015,1.0,"{'minutes': 9, 'seconds': 33}",80.0,7.0
486,New Mexico State,Sun Belt,TD,{'seconds': 38},1.0,"{'minutes': 7, 'seconds': 18}",100.0,400787452.0,4007874524,Georgia Southern,Sun Belt,2.0,True,2015,1.0,"{'minutes': 7, 'seconds': 56}",65.0,35.0
487,Georgia Southern,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 19}",1.0,"{'minutes': 5, 'seconds': 59}",76.0,400787452.0,4007874525,New Mexico State,Sun Belt,3.0,False,2015,1.0,"{'minutes': 7, 'seconds': 18}",84.0,8.0
488,New Mexico State,Sun Belt,TD,"{'minutes': 2, 'seconds': 41}",1.0,"{'minutes': 3, 'seconds': 18}",100.0,400787452.0,4007874526,Georgia Southern,Sun Belt,6.0,True,2015,1.0,"{'minutes': 5, 'seconds': 59}",38.0,62.0
489,Georgia Southern,Sun Belt,DOWNS,"{'minutes': 3, 'seconds': 58}",2.0,"{'minutes': 14, 'seconds': 20}",37.0,400787452.0,4007874527,New Mexico State,Sun Belt,11.0,False,2015,1.0,"{'minutes': 3, 'seconds': 18}",85.0,48.0
490,New Mexico State,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 37}",2.0,"{'minutes': 12, 'seconds': 43}",42.0,400787452.0,4007874528,Georgia Southern,Sun Belt,3.0,False,2015,2.0,"{'minutes': 14, 'seconds': 20}",37.0,5.0
491,Georgia Southern,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 56}",2.0,"{'minutes': 10, 'seconds': 47}",82.0,400787452.0,4007874529,New Mexico State,Sun Belt,5.0,False,2015,2.0,"{'minutes': 12, 'seconds': 43}",91.0,9.0
492,Appalachian State,Sun Belt,TD,"{'minutes': 3, 'seconds': 49}",1.0,"{'minutes': 11, 'seconds': 11}",0.0,400787455.0,4007874551,Georgia Southern,Sun Belt,8.0,True,2015,1.0,{'minutes': 15},86.0,86.0
493,Georgia Southern,Sun Belt,FG,"{'minutes': 2, 'seconds': 36}",1.0,"{'minutes': 8, 'seconds': 35}",73.0,400787455.0,4007874552,Appalachian State,Sun Belt,7.0,True,2015,1.0,"{'minutes': 11, 'seconds': 11}",30.0,43.0
494,Appalachian State,Sun Belt,PUNT,"{'minutes': 4, 'seconds': 49}",1.0,"{'minutes': 3, 'seconds': 46}",57.0,400787455.0,4007874553,Georgia Southern,Sun Belt,9.0,False,2015,1.0,"{'minutes': 8, 'seconds': 35}",75.0,18.0
495,Georgia Southern,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 18}",1.0,{'seconds': 28},38.0,400787455.0,4007874554,Appalachian State,Sun Belt,5.0,False,2015,1.0,"{'minutes': 3, 'seconds': 46}",17.0,21.0
496,Appalachian State,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 49}",2.0,"{'minutes': 12, 'seconds': 39}",96.0,400787455.0,4007874555,Georgia Southern,Sun Belt,3.0,False,2015,1.0,{'seconds': 28},91.0,-5.0
497,Georgia Southern,Sun Belt,TD,"{'minutes': 1, 'seconds': 51}",2.0,"{'minutes': 10, 'seconds': 48}",100.0,400787455.0,4007874556,Appalachian State,Sun Belt,5.0,True,2015,2.0,"{'minutes': 12, 'seconds': 39}",59.0,41.0
498,Appalachian State,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 7}",2.0,"{'minutes': 8, 'seconds': 41}",73.0,400787455.0,4007874557,Georgia Southern,Sun Belt,3.0,False,2015,2.0,"{'minutes': 10, 'seconds': 48}",75.0,2.0
