season,game_id,home_team,away_team,neutral_site,home_score,away_score,pred_home_score,pred_away_score,prob_winner,prob_spread,prob_total,total_error,spread_error,home_error,away_error
2009,292550061,Georgia,South Carolina,False,41,37,37.4358,22.0971,0.5754,0.8883,0.8190,18.4671,11.3387,3.5642,14.9029
2009,292622579,South Carolina,Florida Atlantic,False,38,16,42.6508,20.8652,0.6012,0.9980,0.9108,9.5160,0.2145,4.6508,4.8652
2009,292672579,South Carolina,Ole Miss,False,16,10,20.1632,36.1974,0.4229,0.7893,0.7127,30.3606,22.0343,4.1632,26.1974
2009,292832579,South Carolina,Kentucky,False,28,26,48.3237,12.4553,0.6832,0.6527,0.9282,6.7791,33.8684,20.3237,13.5447
2009,292900333,Alabama,South Carolina,False,20,6,39.6755,24.4527,0.5888,0.9856,0.5741,38.1282,1.2228,19.6755,18.4527
2009,292972579,South Carolina,Vanderbilt,False,14,10,36.4747,17.9788,0.6140,0.8203,0.6332,30.4535,14.4959,22.4747,7.9788
2009,293042633,Tennessee,South Carolina,False,31,13,34.8497,14.3926,0.6152,0.9719,0.9402,5.2422,2.4571,3.8497,1.3926
2009,293110008,Arkansas,South Carolina,False,33,16,33.6816,18.0720,0.5855,0.9846,0.9696,2.7536,1.3904,0.6816,2.0720
2009,293182579,South Carolina,Florida,False,14,24,1.5122,41.1443,0.6872,0.7152,0.9543,4.6565,29.6321,12.4878,17.1443
2009,293322579,South Carolina,Clemson,False,34,17,8.2906,59.9793,0.2559,0.3832,0.8265,17.2699,68.6887,25.7094,42.9793
2010,302452579,South Carolina,Southern Mississippi,False,41,13,35.0687,35.7617,0.4962,0.6940,0.8175,16.8304,28.6931,5.9313,22.7617
2010,302542579,South Carolina,Georgia,False,17,6,34.3104,23.1068,0.5554,0.9980,0.6684,34.4172,0.2036,17.3104,17.1068
2010,302680002,Auburn,South Carolina,False,35,27,27.1228,35.1135,0.4566,0.8275,0.9974,0.2363,15.9907,7.8772,8.1135
2010,302822579,South Carolina,Alabama,False,35,21,17.0019,32.9745,0.4175,0.6960,0.9374,6.0235,29.9726,17.9981,11.9745
2010,302890096,Kentucky,South Carolina,False,31,28,25.2464,58.3530,0.3575,0.6905,0.7862,24.5994,36.1067,5.7536,30.3530
2010,302960238,Vanderbilt,South Carolina,False,7,21,33.8134,36.5538,0.5119,0.9025,0.6447,42.3672,11.2596,26.8134,15.5538
2010,303032579,South Carolina,Tennessee,False,38,24,46.2857,21.0897,0.6514,0.8628,0.9339,5.3754,11.1961,8.2857,2.9103
2010,303102579,South Carolina,Arkansas,False,20,41,39.2211,37.8144,0.4939,0.8082,0.8621,16.0355,22.4068,19.2211,3.1856
2010,303170057,Florida,South Carolina,False,14,36,30.2158,17.4472,0.4374,0.6680,0.9770,2.3370,34.7685,16.2158,18.5528
2010,303242579,South Carolina,Troy,False,69,24,36.8611,23.0834,0.5604,0.7307,0.7156,33.0555,31.2224,32.1389,0.9166
2010,303310228,Clemson,South Carolina,False,7,29,21.5554,25.9428,0.5225,0.8205,0.8822,11.4982,17.6127,14.5554,3.0572
2010,303382579,South Carolina,Auburn,True,17,56,47.4748,42.7638,0.4780,0.6086,0.8399,17.2386,43.7110,30.4748,13.2362
2011,312462579,South Carolina,East Carolina,True,56,37,56.7141,46.1180,0.5414,0.9343,0.9232,9.8321,8.4039,0.7141,9.1180
2011,312530061,Georgia,South Carolina,False,42,45,34.0085,38.9464,0.5229,0.9820,0.8703,14.0451,1.9380,7.9915,6.0536
2011,312602579,South Carolina,Navy,False,24,21,22.6463,40.2573,0.4167,0.8055,0.8306,17.9036,20.6110,1.3537,19.2573
2011,312672579,South Carolina,Vanderbilt,False,21,3,20.8284,27.5357,0.4749,0.8163,0.8188,24.3642,24.7073,0.1716,24.5357
2011,312742579,South Carolina,Auburn,False,13,16,34.4512,29.7175,0.4762,0.9222,0.6569,35.1687,7.7337,21.4512,13.7175
2011,312812579,South Carolina,Kentucky,False,54,3,37.4891,5.9123,0.6727,0.7831,0.8472,13.5986,19.4232,16.5109,2.9123
2011,312880344,Mississippi State,South Carolina,False,12,14,6.8140,28.8751,0.6229,0.7758,0.8906,9.6891,20.0610,5.1860,14.8751
2011,313022633,Tennessee,South Carolina,False,3,14,4.6558,57.3767,0.8005,0.5045,0.4713,45.0324,41.7209,1.6558,43.3767
2011,313090008,Arkansas,South Carolina,False,44,28,23.1250,38.8391,0.4200,0.6835,0.8974,10.0359,31.7141,20.8750,10.8391
2011,313162579,South Carolina,Florida,False,17,12,29.8826,21.8971,0.5461,0.9654,0.7410,22.7797,2.9855,12.8826,9.8971
2011,313302579,South Carolina,Clemson,False,34,13,51.0829,20.7568,0.6547,0.9025,0.7443,24.8397,9.3260,17.0829,7.7568
2012,322430238,Vanderbilt,South Carolina,False,13,17,20.3139,32.0886,0.5761,0.8991,0.7148,22.4025,7.7747,7.3139,15.0886
2012,322522579,South Carolina,East Carolina,False,48,10,44.4703,18.3080,0.6348,0.8761,0.9498,4.7782,11.8377,3.5297,8.3080
2012,322662579,South Carolina,Missouri,False,31,10,42.4320,19.7922,0.6073,0.9843,0.7984,21.2242,1.6399,11.4320,9.7922
2012,322730096,Kentucky,South Carolina,False,17,38,13.0750,51.5947,0.6837,0.8278,0.9045,9.6697,17.5197,3.9250,13.5947
2012,322802579,South Carolina,Georgia,False,35,7,42.2013,35.9505,0.5289,0.8005,0.6745,36.1518,21.7492,7.2013,28.9505
2012,322870099,LSU,South Carolina,False,23,21,14.1951,41.5160,0.3510,0.6814,0.8697,11.7111,29.3209,8.8049,20.5160
2012,322940057,Florida,South Carolina,False,44,11,29.2008,29.9465,0.4956,0.6197,0.9514,4.1473,33.7457,14.7992,18.9465
